yr_built,city,bedrooms,bathrooms,sqft_living,sqft_lot,price
2014,Issaquah,4.0,2.5,1540,1860,491234.0
2014,Snoqualmie,4.0,3.5,2960,6000,633634.0
2014,Seattle,3.0,2.25,1270,1406,594000.0
2014,Seattle,3.0,2.5,1730,3600,328423.0
2014,Issaquah,4.0,3.25,3060,3898,782900.0
2014,Black Diamond,3.0,1.75,1500,11968,224000.0
2014,Kirkland,4.0,2.75,3610,8580,982000.0
2014,North Bend,4.0,2.75,2790,5527,483453.0
2014,Enumclaw,3.0,3.0,1670,4440,246950.0
2014,Seattle,2.0,1.75,1110,1773,229800.0
2014,Seattle,1.0,1.25,1100,638,516500.0
2014,Redmond,4.0,2.5,3560,5265,882566.0
2014,Maple Valley,4.0,2.5,2530,5048,417838.0
2014,Auburn,4.0,2.5,2701,4500,399895.0
2014,Issaquah,4.0,2.5,1540,1870,484998.0
2014,Seattle,4.0,3.5,3390,3979,1054690.0
2014,Auburn,3.0,2.5,2242,4500,309780.0
2014,Seattle,3.0,1.75,1630,1526,609000.0
2014,Mercer Island,4.0,4.25,5010,19412,2351956.0
2014,Renton,4.0,3.0,2590,6160,519995.0
2014,Redmond,5.0,2.75,3595,5639,861990.0
2014,Issaquah,3.0,2.5,1910,2091,494815.0
2014,Maple Valley,3.0,2.5,2370,4200,351999.0
2014,Seattle,3.0,2.5,1420,1237,510000.0
2014,Seattle,3.0,1.75,1140,1201,230000.0
2014,Issaquah,2.0,1.75,1210,1032,357562.0
2014,Seattle,4.0,3.5,3150,5500,1205000.0
2014,Auburn,4.0,2.5,2250,3916,333490.0
2014,Seattle,3.0,3.25,1830,1804,599950.0
2014,Renton,4.0,2.75,3510,9400,659950.0
2014,Seattle,4.0,2.25,3300,8365,760000.0
2014,Seattle,3.0,3.0,1680,1570,330000.0
2014,Kirkland,4.0,2.75,3270,12880,723243.75
2014,Renton,5.0,2.75,2670,3800,341166.666667
2014,Kirkland,4.0,2.75,3010,7215,723243.75
2013,North Bend,3.0,2.5,2680,5539,459990.0
2013,Redmond,4.0,2.5,2450,4247,712198.0
2013,Renton,4.0,3.25,3569,8327,580000.0
2013,Bellevue,5.0,5.0,4490,10279,1800000.0
2013,Renton,4.0,3.5,3810,13592,839900.0
2013,Burien,5.0,3.0,2100,7715,330000.0
2013,Redmond,5.0,2.75,3150,7119,819900.0
2013,Seattle,4.0,2.5,2210,4861,650000.0
2013,Issaquah,4.0,3.5,3930,5680,828950.0
2013,Sammamish,4.0,2.5,3950,10856,914500.0
2013,Newcastle,5.0,2.75,3030,10335,819995.0
2013,Seattle,3.0,2.25,1520,1221,565000.0
2013,Snoqualmie,4.0,2.5,2500,4945,575000.0
2013,Auburn,4.0,2.5,2303,3680,329995.0
2013,Seattle,5.0,3.5,4460,2975,490000.0
2013,Seattle,5.0,3.5,2420,4670,380000.0
2013,Seattle,3.0,2.5,1750,1548,495000.0
2013,North Bend,4.0,2.75,2620,6019,499431.0
2013,North Bend,3.0,3.0,2340,5002,427874.0
2013,Seattle,3.0,3.25,1530,1602,320000.0
2013,Seattle,4.0,2.5,2820,6180,735000.0
2013,Sammamish,4.0,3.0,3240,5562,895000.0
2013,Renton,4.0,3.5,2370,3692,400000.0
2013,Bellevue,6.0,3.75,2930,14980,915000.0
2013,Kirkland,4.0,2.5,2580,3909,899900.0
2013,North Bend,4.0,2.75,2790,8853,533112.0
2013,Renton,3.0,2.75,2670,3738,798800.0
2013,Seattle,3.0,2.0,1380,3600,350000.0
2013,Sammamish,4.0,4.0,4420,16526,1325000.0
2013,Snoqualmie,3.0,1.75,1930,6360,536751.0
2013,Seattle,3.0,3.25,1540,1428,690000.0
2013,Renton,4.0,2.75,3260,4900,565000.0
2013,Renton,5.0,3.0,2630,3149,420000.0
2013,Seattle,5.0,3.0,3190,7081,664950.0
2013,Seattle,5.0,3.25,2910,5027,515000.0
2013,Federal Way,5.0,3.0,2300,8214,312891.0
2013,Seattle,2.0,1.5,1200,1259,455000.0
2013,Redmond,4.0,2.5,2440,4850,745641.0
2013,Mercer Island,4.0,4.0,3570,8250,597326.0
2013,Renton,4.0,3.75,3460,6738,971971.0
2013,Burien,4.0,3.0,2530,10000,459000.0
2013,Bellevue,4.0,3.75,4350,7965,2065000.0
2013,North Bend,4.0,2.75,2910,6334,499990.0
2013,North Bend,4.0,2.75,2620,6178,475000.0
2013,Redmond,3.0,4.5,3850,62726,915000.0
2013,Seattle,4.0,2.25,2360,4000,1300000.0
2013,North Bend,4.0,2.5,2680,5539,449990.0
2013,Seattle,3.0,3.25,1450,1387,320000.0
2013,Kirkland,4.0,2.5,3130,10849,999000.0
2013,Seattle,4.0,3.25,3730,4560,595000.0
2013,Shoreline,4.0,3.25,3090,6744,850000.0
2013,Renton,3.0,2.5,1600,3573,444845.0
2013,Bellevue,5.0,4.0,4430,9000,0.0
2013,Woodinville,4.0,2.5,3430,64441,646212.5
2013,Seattle,4.0,2.5,2310,5100,790000.0
2013,Renton,5.0,2.75,3240,6863,0.0
2013,Auburn,3.0,2.5,2538,4600,289373.307692
2012,Snoqualmie,4.0,2.5,3310,6500,555000.0
2012,Renton,4.0,2.75,2920,6605,625000.0
2012,Duvall,3.0,2.75,2090,8354,403000.0
2012,Seattle,3.0,1.75,1410,1197,500000.0
2012,Kenmore,4.0,2.5,2840,4500,557000.0
2012,Bellevue,4.0,3.75,3490,9170,1264000.0
2012,Kenmore,4.0,2.5,2040,5616,502000.0
2012,Snoqualmie,4.0,3.5,3400,5196,660000.0
2012,Maple Valley,3.0,2.5,1840,5011,317000.0
2012,Seattle,3.0,2.5,1480,1663,341000.0
2012,Seattle,2.0,2.25,1230,1280,387000.0
2012,Renton,4.0,2.5,2798,4473,499950.0
2012,Snoqualmie,4.0,2.5,2720,4738,545000.0
2012,Snoqualmie,4.0,3.5,2910,5260,610000.0
2012,Seattle,5.0,2.5,2690,5557,279000.0
2012,Federal Way,3.0,2.5,2456,7566,329950.0
2012,Covington,3.0,2.25,1400,3814,250000.0
2012,Auburn,3.0,2.25,1584,2800,267000.0
2012,Newcastle,3.0,3.5,3390,10078,750000.0
2012,Redmond,4.0,2.5,2650,6884,734990.0
2012,Sammamish,4.0,2.75,3730,8014,925000.0
2012,Seattle,3.0,2.0,1890,1599,458500.0
2012,Seattle,3.0,1.5,1270,2356,160797.0
2012,Issaquah,4.0,2.5,2050,2772,639888.0
2012,Auburn,3.0,2.25,1481,2820,240000.0
2012,Duvall,3.0,2.5,1860,3730,309620.0
2012,Auburn,3.0,2.5,1769,7324,334888.0
2012,Renton,3.0,2.5,2490,4540,414000.0
2012,Maple Valley,4.0,2.5,3060,6000,465000.0
2012,Seattle,2.0,2.5,1160,1458,525000.0
2012,Issaquah,3.0,2.75,2830,3496,673000.0
2012,Kent,6.0,2.25,3206,5793,375000.0
2012,Renton,4.0,2.75,2320,4344,484991.666667
2011,Renton,2.0,2.25,2550,5663,630000.0
2011,Kenmore,3.0,2.5,2310,4729,494000.0
2011,Redmond,2.0,2.5,2380,9374,818000.0
2011,Seattle,2.0,2.5,1230,987,380000.0
2011,Auburn,3.0,2.5,1550,3569,259000.0
2011,Seattle,4.0,2.5,2040,22653,350000.0
2011,Seattle,2.0,2.5,1380,1073,285000.0
2011,Seattle,3.0,3.25,1540,704,742000.0
2011,Auburn,3.0,2.5,2437,5136,285000.0
2011,Issaquah,3.0,3.25,1540,1487,520000.0
2011,Seattle,3.0,2.5,2050,4185,700000.0
2011,Seattle,3.0,2.5,1800,2700,365000.0
2011,Kent,3.0,2.5,1413,3600,286800.0
2011,Federal Way,3.0,2.5,2238,7209,330000.0
2011,Auburn,3.0,2.5,2242,4995,329900.0
2011,Duvall,3.0,2.5,2280,6031,415000.0
2011,Seattle,3.0,2.5,1800,2790,364000.0
2011,Renton,4.0,2.75,3030,6625,525000.0
2011,Seattle,3.0,2.25,1490,1212,735000.0
2011,Issaquah,2.0,1.75,1410,1005,399900.0
2011,Issaquah,3.0,2.75,1830,1850,593000.0
2011,Seattle,3.0,2.5,1720,3012,500000.0
2011,Sammamish,3.0,2.75,3010,1842,237333.333333
2011,Seattle,3.0,2.5,1800,2700,309000.0
2010,Issaquah,3.0,2.5,1790,2700,509900.0
2010,Issaquah,3.0,2.25,1620,998,415000.0
2010,Seattle,2.0,1.0,980,1179,438000.0
2010,Issaquah,5.0,6.5,7270,130017,2238888.0
2010,Seattle,3.0,2.5,1570,1433,635000.0
2010,Maple Valley,4.0,2.5,2160,6223,383000.0
2010,Seattle,3.0,2.75,1250,892,450000.0
2010,Redmond,3.0,2.5,1720,3600,386380.0
2010,Kenmore,3.0,3.0,1970,24318,445000.0
2010,Seattle,3.0,2.25,1347,1292,321000.0
2010,Redmond,3.0,2.5,2450,4332,660000.0
2010,Maple Valley,3.0,2.5,1950,3600,298000.0
2010,Snoqualmie,4.0,2.75,3120,7644,575000.0
2010,Seattle,3.0,2.5,1480,1590,315000.0
2010,Seattle,3.0,3.5,1650,2262,547500.0
2010,Issaquah,4.0,2.75,2450,4187,735000.0
2010,Redmond,4.0,2.75,2500,4950,680000.0
2010,Seattle,3.0,2.5,1180,1262,472000.0
2010,Seattle,3.0,2.25,1490,1294,309000.0
2010,Renton,4.0,2.5,2020,5501,415000.0
2010,Bellevue,4.0,2.25,3550,13900,859000.0
2010,Issaquah,4.0,3.5,3190,31450,790000.0
2010,Seattle,3.0,3.5,1590,1102,518500.0
2010,Maple Valley,3.0,2.25,1450,4050,274500.0
2010,Renton,4.0,2.5,2150,3143,435000.0
2010,Sammamish,4.0,2.75,3090,5859,760005.0
2010,Redmond,2.0,2.5,2150,5760,741500.0
2010,Issaquah,3.0,2.5,1790,3078,530000.0
2009,Seattle,2.0,2.5,1630,1368,295000.0
2009,Issaquah,3.0,2.5,1940,3211,555000.0
2009,Seattle,3.0,2.25,1606,1452,417250.0
2009,Redmond,2.0,2.5,1480,1369,420000.0
2009,Seattle,2.0,2.5,980,895,369000.0
2009,Seattle,3.0,3.5,1810,1846,625000.0
2009,Renton,4.0,2.5,2790,5602,505000.0
2009,Seattle,3.0,2.25,1490,974,312000.0
2009,Maple Valley,4.0,2.5,2440,4000,350000.0
2009,Snoqualmie,4.0,2.5,2430,5000,480000.0
2009,Snoqualmie,5.0,2.5,3200,6455,675000.0
2009,Seattle,3.0,2.5,2200,3360,433500.0
2009,Seattle,2.0,2.5,1590,2656,305000.0
2009,Issaquah,4.0,3.5,3070,4684,785000.0
2009,Kirkland,3.0,4.0,3880,13095,1030000.0
2009,Seattle,3.0,2.5,1530,1131,360000.0
2009,Renton,4.0,2.5,2100,3916,346000.0
2009,Redmond,4.0,2.5,3330,7399,760000.0
2009,Kirkland,5.0,4.5,4590,14685,1710000.0
2009,Seattle,3.0,3.0,1296,1051,399950.0
2009,Seattle,2.0,2.25,1280,835,370000.0
2009,Renton,4.0,3.25,2510,5311,450800.0
2009,Kirkland,3.0,2.5,2780,11964,825500.0
2009,Duvall,3.0,3.25,2780,4002,402500.0
2009,Kenmore,3.0,2.25,1450,4706,400000.0
2009,Auburn,4.0,2.5,2610,4781,335000.0
2009,Seattle,3.0,2.5,1660,3990,324500.0
2009,Renton,3.0,2.75,3400,7200,530000.0
2009,Renton,4.0,2.5,2550,4500,415000.0
2009,Issaquah,2.0,2.25,1170,1011,336750.0
2009,Kenmore,4.0,2.5,1750,4779,415500.0
2009,Renton,5.0,2.5,2340,4500,429000.0
2009,Kent,3.0,2.5,1880,6008,284000.0
2009,Seattle,3.0,2.25,1230,1238,435000.0
2009,Seattle,3.0,2.5,1640,1269,579000.0
2009,Seattle,2.0,1.5,940,1768,362500.0
2009,Seattle,2.0,0.75,1020,1350,402101.0
2009,Seattle,3.0,2.5,2320,2267,425000.0
2009,Seattle,5.0,3.0,2620,5477,975000.0
2009,Duvall,3.0,2.5,2370,5353,429900.0
2009,Skykomish,3.0,2.75,2600,64626,415000.0
2009,Seattle,2.0,1.5,1130,746,536000.0
2009,Renton,3.0,2.5,3030,9053,509900.0
2009,Kent,3.0,2.25,1910,3481,293000.0
2009,Renton,4.0,2.5,2550,5200,435000.0
2009,Snoqualmie,3.0,2.5,1950,5689,425000.0
2009,Kenmore,3.0,2.25,1490,4522,326983.333333
2009,Renton,4.0,2.5,3250,4500,460886.923077
2009,Issaquah,3.0,2.25,1620,1075,430277.777778
2009,Renton,3.0,2.5,3010,7014,416904.166667
2008,Seattle,3.0,3.25,1320,1327,385000.0
2008,Renton,4.0,2.5,2910,6338,549000.0
2008,Seattle,3.0,3.0,1571,2017,366750.0
2008,Seattle,3.0,2.5,2200,1970,1050000.0
2008,Redmond,4.0,2.5,3040,6425,776000.0
2008,Seattle,2.0,2.5,1150,1027,425000.0
2008,Seattle,5.0,2.75,2410,5003,365000.0
2008,Renton,3.0,2.5,2920,3942,868500.0
2008,Seattle,3.0,2.5,1540,1614,413450.0
2008,Seattle,2.0,1.5,1020,1060,441750.0
2008,Seattle,3.0,2.0,1340,1384,376000.0
2008,Redmond,2.0,1.0,1290,2828,265000.0
2008,Kirkland,4.0,3.75,3280,11000,1050000.0
2008,Seattle,3.0,2.5,1580,1161,525000.0
2008,Sammamish,5.0,4.5,3810,8019,966000.0
2008,Renton,3.0,2.75,2580,5200,437000.0
2008,Issaquah,3.0,2.5,2134,1984,611000.0
2008,Bellevue,4.0,3.0,5520,8313,1270000.0
2008,Bellevue,4.0,3.5,3410,10769,1405000.0
2008,Seattle,3.0,2.5,1680,2096,518000.0
2008,Seattle,3.0,2.5,1260,889,479000.0
2008,Seattle,3.0,1.75,1690,1468,380000.0
2008,Seattle,3.0,2.25,1970,2377,415000.0
2008,Seattle,3.0,2.5,1210,1200,500000.0
2008,Seattle,4.0,3.5,3120,5086,953007.0
2008,Seattle,4.0,2.5,3240,3600,1220000.0
2008,Seattle,3.0,3.5,1900,1612,431500.0
2008,Bellevue,4.0,5.5,5060,10320,2150000.0
2008,Seattle,3.0,1.5,1360,885,359000.0
2008,Seattle,1.0,1.0,550,1279,353000.0
2008,Seattle,3.0,2.5,1620,1173,580000.0
2008,Federal Way,4.0,2.5,3753,7204,363000.0
2008,Snoqualmie,4.0,2.75,3310,6166,658000.0
2008,Snoqualmie,3.0,2.5,2930,6050,650880.0
2008,Seattle,3.0,3.25,1730,1229,645000.0
2008,Maple Valley,3.0,2.0,1380,4500,275000.0
2008,Snoqualmie,4.0,2.5,3290,6203,648000.0
2008,Seattle,4.0,2.5,2340,3784,445000.0
2008,Seattle,3.0,3.5,1690,1432,499000.0
2008,Snoqualmie,4.0,2.5,2630,6326,589500.0
2008,Issaquah,4.0,2.5,2430,4747,585000.0
2008,Seattle,3.0,2.5,1210,1420,345000.0
2008,Seattle,2.0,1.75,1060,1241,352750.0
2008,Seattle,2.0,1.5,1340,1210,345000.0
2008,Seattle,3.0,3.25,1651,1779,363000.0
2008,Seattle,3.0,3.25,1470,1235,300000.0
2008,Kenmore,4.0,2.75,2360,4924,525000.0
2008,Seattle,4.0,3.5,2840,4637,685000.0
2008,Snoqualmie,2.0,2.5,1620,3196,386000.0
2008,Snoqualmie,3.0,2.75,2300,4637,479500.0
2008,Seattle,3.0,3.5,4360,6240,1555000.0
2008,Seattle,3.0,3.25,1689,1388,384400.0
2008,Renton,4.0,2.5,3250,5000,580000.0
2008,Kirkland,4.0,2.5,3170,8523,820000.0
2008,Seattle,2.0,2.5,1430,923,485000.0
2008,Seattle,3.0,3.25,1380,1120,482000.0
2008,Kenmore,4.0,2.5,2610,4595,535000.0
2008,Seattle,4.0,2.5,2310,4079,646000.0
2008,Seattle,3.0,2.25,1240,949,543000.0
2008,Redmond,3.0,2.5,2320,6775,728050.0
2008,Seattle,5.0,3.25,3840,4800,1462497.0
2008,Seattle,3.0,2.75,1100,750,286000.0
2008,Covington,4.0,2.5,2620,4469,300000.0
2008,Seattle,3.0,1.5,1420,1192,345000.0
2008,Seattle,3.0,2.5,3310,5300,670000.0
2008,Seattle,2.0,1.5,1370,1221,446000.0
2008,Bellevue,4.0,3.5,3990,5267,1080000.0
2008,Seattle,4.0,3.5,3370,5000,900000.0
2008,Vashon,3.0,1.75,1444,249126,420000.0
2008,Seattle,2.0,1.5,1200,1687,504200.0
2008,Issaquah,4.0,2.0,1350,942,288790.0
2008,Mercer Island,5.0,3.5,5000,26540,1730000.0
2008,Seattle,2.0,2.0,1090,934,427500.0
2008,Seattle,3.0,2.5,1220,1330,457000.0
2008,Seattle,4.0,3.5,3400,3850,1198000.0
2008,Issaquah,3.0,2.5,2390,1984,629800.0
2008,Seattle,3.0,2.5,1450,1053,460000.0
2008,Kirkland,4.0,3.5,3770,8501,1020000.0
2008,Redmond,4.0,3.5,2500,3080,599950.0
2008,Seattle,2.0,1.5,800,2119,265050.0
2008,Renton,4.0,3.5,4370,10860,1025000.0
2008,Redmond,2.0,1.75,1350,4614,498800.0
2008,Kirkland,4.0,3.75,4260,9800,1065000.0
2008,Seattle,1.0,1.0,730,1942,321500.0
2008,Redmond,3.0,2.75,2820,5348,749000.0
2008,Mercer Island,4.0,4.5,5030,11023,0.0
2008,Seattle,3.0,3.5,1240,1666,435500.0
2008,Redmond,3.0,2.75,2210,4000,216000.0
2008,Seattle,3.0,1.75,1490,1036,584000.0
2007,Renton,4.0,3.25,2730,54014,625000.0
2007,Redmond,4.0,2.5,3400,9692,830000.0
2007,Renton,3.0,2.5,3040,4535,478000.0
2007,Renton,4.0,2.5,2331,3826,345000.0
2007,Kirkland,5.0,4.5,4270,8076,1532500.0
2007,Burien,3.0,2.75,2015,16807,988500.0
2007,Seattle,2.0,1.25,860,1277,321950.0
2007,Seattle,3.0,2.25,1352,1694,325000.0
2007,Carnation,4.0,3.25,3540,159430,800000.0
2007,Seattle,3.0,2.25,998,904,324000.0
2007,Seattle,3.0,2.5,1370,1350,368000.0
2007,Seattle,2.0,2.25,1290,1334,500000.0
2007,Issaquah,3.0,3.25,3190,5283,757000.0
2007,Woodinville,3.0,3.5,2876,5086,525000.0
2007,Seattle,3.0,2.5,1450,5008,330000.0
2007,Seattle,3.0,1.5,1220,1086,306000.0
2007,Issaquah,3.0,2.75,2470,3600,773000.0
2007,Sammamish,4.0,3.5,4910,9444,1222500.0
2007,Seattle,3.0,2.5,1232,1130,344000.0
2007,Fall City,3.0,2.5,3150,151588,720000.0
2007,Seattle,3.0,1.5,1100,1751,375000.0
2007,Shoreline,3.0,3.25,1860,1787,379950.0
2007,Seattle,2.0,2.25,1540,958,640000.0
2007,Federal Way,5.0,3.0,2100,9752,298450.0
2007,Seattle,1.0,1.0,820,1060,194000.0
2007,Snoqualmie,4.0,2.5,3550,8048,625000.0
2007,Seattle,3.0,1.5,1270,1443,440000.0
2007,Kirkland,3.0,3.25,3690,7200,1580000.0
2007,Seattle,3.0,2.0,1470,1691,540000.0
2007,Redmond,3.0,2.0,1440,4421,413800.0
2007,Kirkland,4.0,3.25,3810,8519,1130000.0
2007,Issaquah,3.0,3.0,1960,1168,556000.0
2007,Seattle,3.0,2.25,1470,1578,432000.0
2007,Seattle,3.0,2.25,998,844,320000.0
2007,Issaquah,4.0,3.75,3860,5474,1051000.0
2007,Seattle,2.0,2.5,1520,1588,430000.0
2007,Seattle,2.0,1.0,1140,1730,235000.0
2007,Seattle,3.0,2.0,1220,1186,355000.0
2007,Snoqualmie,3.0,2.5,2460,4399,440500.0
2007,Federal Way,3.0,2.5,2495,4400,267000.0
2007,Seattle,2.0,1.5,880,1157,210000.0
2007,Issaquah,4.0,3.5,3910,8095,782000.0
2007,Seattle,2.0,2.5,1240,1546,330000.0
2007,Seattle,2.0,2.5,1140,1182,425000.0
2007,Seattle,3.0,2.5,1520,2208,499950.0
2007,Seattle,3.0,2.5,1690,1553,640000.0
2007,Snoqualmie,3.0,2.5,2060,4399,418500.0
2007,Renton,4.0,2.5,2700,5150,550000.0
2007,Seattle,3.0,2.5,1480,1485,584000.0
2007,Seattle,2.0,2.0,1405,1073,405000.0
2007,Renton,4.0,2.5,1811,4381,260000.0
2007,Bothell,5.0,3.0,2870,4369,540000.0
2007,Renton,6.0,5.0,3440,4500,495000.0
2007,Seattle,2.0,1.5,1295,1093,487028.0
2007,Snoqualmie,4.0,3.5,2550,8698,516000.0
2007,Seattle,3.0,2.5,1910,1501,585000.0
2007,Issaquah,3.0,2.5,2570,3600,680000.0
2007,Issaquah,4.0,3.5,3200,3250,795000.0
2007,Seattle,5.0,3.0,1940,6355,300000.0
2007,Bellevue,4.0,3.5,3280,6603,963000.0
2007,Seattle,3.0,2.5,1350,1186,468500.0
2007,Seattle,3.0,2.0,1980,2674,435000.0
2007,Shoreline,3.0,2.5,1680,2229,345000.0
2007,Seattle,3.0,3.5,1360,1419,515000.0
2007,Enumclaw,3.0,2.0,2540,237402,600000.0
2007,Seattle,3.0,3.25,1630,1677,385000.0
2007,Seattle,2.0,2.25,930,747,355000.0
2007,Seattle,3.0,2.5,1600,1936,395000.0
2007,Snoqualmie,4.0,3.5,4000,15253,762000.0
2007,Seattle,2.0,2.25,1350,1493,395000.0
2007,Pacific,5.0,2.5,2025,7760,260000.0
2007,Seattle,3.0,2.5,1400,1312,563500.0
2007,Bellevue,4.0,3.5,3450,7832,1050000.0
2007,Seattle,1.0,1.5,1170,1456,235000.0
2007,Seattle,3.0,3.5,1360,1275,397000.0
2007,Seattle,3.0,2.5,1460,1613,544000.0
2007,Issaquah,4.0,2.5,3670,7680,950000.0
2007,Mercer Island,5.0,3.25,4390,11250,1510000.0
2007,Kirkland,4.0,3.25,3530,8589,963000.0
2007,Seattle,2.0,2.5,1050,1029,332888.0
2007,Seattle,2.0,2.25,1540,965,640000.0
2007,Seattle,3.0,1.5,1400,1022,425000.0
2007,Kent,4.0,2.5,2090,5195,300000.0
2007,Seattle,3.0,2.5,1601,2491,378000.0
2007,Issaquah,4.0,3.5,3370,3634,812000.0
2007,Redmond,2.0,2.75,2700,8572,810000.0
2007,Redmond,2.0,2.25,2290,9772,737000.0
2007,Bellevue,5.0,3.5,5430,10327,1240000.0
2007,Seattle,3.0,2.25,1390,1484,374950.0
2007,Seattle,3.0,1.5,1270,1413,440000.0
2007,Seattle,3.0,2.5,1770,1235,436110.0
2007,Enumclaw,2.0,2.5,2200,188200,0.0
2007,Seattle,3.0,2.5,1150,887,360500.0
2006,Snoqualmie,5.0,3.25,3660,11995,785000.0
2006,Kent,3.0,2.5,2540,5050,300000.0
2006,Seattle,2.0,3.0,1410,1240,405000.0
2006,Snoqualmie,4.0,2.5,2910,6479,499000.0
2006,Maple Valley,4.0,2.75,2310,5000,309950.0
2006,Issaquah,4.0,4.25,4420,5750,890000.0
2006,Issaquah,5.0,3.5,4490,6000,890000.0
2006,Seattle,3.0,2.5,1480,1171,500000.0
2006,Seattle,5.0,3.75,2890,5000,390000.0
2006,Seattle,3.0,2.0,1270,1320,369950.0
2006,Kirkland,4.0,3.5,3900,8391,1040000.0
2006,Seattle,2.0,1.0,820,681,339950.0
2006,Redmond,2.0,2.0,1870,4950,559950.0
2006,Algona,4.0,3.0,2163,5883,248000.0
2006,Seattle,4.0,3.5,2730,3047,769900.0
2006,Seattle,3.0,2.5,1350,1250,394950.0
2006,Redmond,2.0,2.0,1680,4950,530000.0
2006,Kent,5.0,2.5,3001,5710,373000.0
2006,Newcastle,4.0,2.5,3000,5548,675000.0
2006,Seattle,4.0,2.5,3520,6773,870000.0
2006,Covington,4.0,2.5,2230,4541,253000.0
2006,Seattle,4.0,2.5,3200,7535,1255000.0
2006,Redmond,5.0,2.75,2830,5310,725000.0
2006,Seattle,2.0,2.5,1310,1500,500000.0
2006,Seattle,4.0,2.5,2650,7945,699000.0
2006,Renton,4.0,2.5,2670,8765,515000.0
2006,Seattle,4.0,3.25,2780,7875,700000.0
2006,Issaquah,5.0,3.75,5330,6000,950000.0
2006,SeaTac,3.0,2.25,1950,7221,408000.0
2006,Seattle,5.0,2.5,2760,6000,300000.0
2006,Seattle,3.0,2.0,1270,1323,360000.0
2006,Seattle,2.0,2.5,750,1430,375000.0
2006,Seattle,3.0,3.5,1600,1431,460000.0
2006,Renton,3.0,2.5,2250,3757,395000.0
2006,Bothell,3.0,2.5,3160,4270,555000.0
2006,Renton,4.0,2.5,3150,7277,681716.0
2006,Snoqualmie,4.0,3.5,4490,5099,700000.0
2006,Sammamish,3.0,2.5,2390,4555,695000.0
2006,Seattle,2.0,2.25,1000,905,305000.0
2006,Maple Valley,4.0,2.5,2910,7631,525000.0
2006,Issaquah,3.0,2.5,2290,3475,653000.0
2006,Seattle,3.0,2.5,1495,936,400000.0
2006,Redmond,2.0,2.5,2680,11214,930000.0
2006,Seattle,3.0,2.0,1630,7599,767450.0
2006,Snoqualmie,4.0,3.0,4410,5104,765000.0
2006,Seattle,3.0,2.5,1780,1487,586500.0
2006,Seattle,3.0,1.75,1420,1189,455000.0
2006,Seattle,5.0,3.0,2440,4750,495000.0
2006,Kent,4.0,2.5,2100,4237,268500.0
2006,Seattle,3.0,3.0,1390,1080,275000.0
2006,Renton,4.0,2.5,3070,6432,462000.0
2006,Maple Valley,4.0,2.5,3190,7399,609900.0
2006,Seattle,2.0,2.5,1380,951,552000.0
2006,Snoqualmie,3.0,2.5,1960,4400,410000.0
2006,Sammamish,4.0,3.25,3490,7024,745000.0
2006,Renton,5.0,2.75,2880,8364,525000.0
2006,Seattle,3.0,3.25,1460,1592,350000.0
